,Species,Samples
147,Drymophila devillei,3
123,Elaenia cf. cristata,3
156,Electron platyrhynchum,3
141,Eurypyga helias,3
138,Forpus sclateri,3
94,Galbula cyanescens,3
167,Geranospiza caerulescens,3
128,Glaucidium hardyi,3
129,Grallaria guatimalensis,3
107,Harpia harpyja,3
122,Hemithraupis flavicollis,3
91,Hemitriccus flammulatus,3
142,Heterospizias meridionalis,3
180,Hydropsalis cayennensis,3
134,Hydropsalis maculicaudus,3
114,Icterus cayanensis,3
186,Inezia caudata,3
144,Knipolegus poecilurus,3
76,Leptotila cf. rufaxilla,3
170,Leucopternis kuhli,3
115,Megaceryle torquata,3
77,Megascops watsonii,3
173,Metopothrix aurantiaca,3
168,Milvago chimachima,3
157,Mitrospingus oleagineus,3
106,Myiarchus swainsoni,3
86,Myiarchus tyrannulus,3
176,Myiozetetes luteiventris,3
183,Myrmeciza longipes,3
88,Myrmotherula obscura,3
146,Nannopterum brasilianus,3
100,Nonnula amaurocephala,3
102,Nyctibius bracteatus,3
143,Nyctibius grandis,3
185,Nyctiphrynus ocellatus,3
119,Opisthocomus hoazin,3
92,Ornithion inerme,3
133,Orthopsittaca manilatus,3
174,Parkesia noveboracensis,3
150,Patagioenas cayennensis,3
131,Patagioenas plumbea,3
79,Phaethornis cf. ruber,3
148,Phaethornis griseogularis,3
126,Pharomachrus pavoninus,3
116,Philydor erythropterum,3
87,Piaya melanogaster,3
111,Picumnus undulatus,3
78,Piranga rubra,3
124,Podager nacunda,3
85,Porphyrio flavirostris,3
95,Procacicus solitarius,3
118,Psarocolius angustifrons,3
163,Pygochelidon cyanoleuca,3
120,Pyrilia barrabandi,3
80,Pyrilia vulturina,3
161,Pyrrhura perlata,3
130,Pyrrhura roseifrons,3
178,Ramphodon naevius,3
104,Ramphotrigon fuscicauda,3
162,Rhytipterna sp.,3
177,Riparia riparia,3
145,Rostrhamus sociabilis,3
108,Rupicola rupicola,3
96,Schiffornis virescens,3
125,Sclerurus albigularis,3
103,Selenidera nattereri,3
113,Setophaga ruticilla,3
97,Setophaga striata,3
160,Sicalis columbiana,3
149,Sicalis luteola,3
171,Synallaxis ruficapilla,3
187,Tachycineta albiventer,3
184,Tangara schrankii,3
90,Tiaris fuliginosus,3
155,Tigrisoma lineatum,3
158,Tolmomyias flaviventris viridiceps,3
93,Tolmomyias sp.,3
139,Topaza pyra,3
165,Tringa solitaria,3
98,Trochilidae sp.,3
175,Turdus nudigenis,3
169,Turdus sanchezorum,3
164,Tyrannidae sp.,3
75,Xenops rutilans,3
32,Akletos melanoceps,4
29,Amazilia viridigaster cupreicauda,4
52,Arremonops conirostris,4
70,Asio clamator,4
47,Brachygalba lugubris,4
74,Calidris fuscicollis,4
64,Calidris melanotos,4
72,Campylopterus duidae,4
12,Cantorchilus griseus,4
54,Caracara cheriway,4
31,Chiroxiphia caudata,4
42,Chloroceryle americana,4
20,Chordeiles acutipennis,4
50,Clibanornis obscurus,4
3,Cnemotriccus sp.,4
53,Colibri delphinae,4
45,Conopias parvus,4
35,Conopophaga melanogaster,4
1,Cranioleuca muelleri,4
73,Crax alector,4
16,Cyanerpes cyaneus,4
0,Donacobius atricapilla,4
25,Doryfera johannae,4
58,Dryocopus lineatus,4
56,Elaenia olivina,4
68,Epinecrophylla pyrrhonota,4
33,Eubucco richardsoni,4
30,Euphonia violacea,4
9,Eupsittula pertinax,4
34,Formicivora rufa,4
27,Furnarius minor,4
51,Glaucidium brasilianum,4
5,Granatellus pelzelni,4
44,Graydidascalus brachyurus,4
28,Hemithraupis guira,4
39,Hemitriccus minimus,4
22,Herpsilochmus roraimae,4
