,Species,Number of Specimens
520,Thamnophilus insignis,4
521,Syndactyla roraimae,4
522,Clibanornis obscurus,4
523,Ortalis guttata,4
524,Selenidera gouldii,4
525,Turdus amaurochalinus,4
526,Akletos melanoceps,4
527,Psarocolius bifasciatus,4
528,Conopias parvus,4
529,Cranioleuca muelleri,4
530,Epinecrophylla pyrrhonota,4
531,Myiothlypis mesoleuca,4
532,Brachygalba lugubris,4
533,Glaucidium brasilianum,4
534,Thamnophilus cryptoleucus,4
535,Euphonia violacea,4
536,Chordeiles acutipennis,4
537,Poecilotriccus sylvia,4
538,Eubucco richardsoni,4
539,Herpsilochmus stotzi,4
540,Amaurolimnas concolor,4
541,Calidris melanotos,4
542,Neopipo cinnamomea,4
543,Pyrrhura amazonum,4
544,Calidris fuscicollis,4
545,Malacoptila semicincta,4
546,Eupsittula pertinax,4
547,Neocrex erythrops,4
548,Xenopipo uniformis,4
549,Formicivora rufa,4
550,Graydidascalus brachyurus,4
551,Phaethornis griseogularis,3
552,Nannopterum brasilianus,3
553,Geranospiza caerulescens,3
554,Aburria cumanensis,3
555,Mitrospingus oleagineus,3
556,Hemithraupis flavicollis,3
557,Electron platyrhynchum,3
558,Sicalis columbiana,3
559,Turdus flavipes,3
560,Myiozetetes luteiventris,3
561,Pyrilia vulturina,3
562,Megascops watsonii,3
563,Milvago chimachima,3
564,Ardea cocoi,3
565,Glaucidium hardyi,3
566,Cyanocorax violaceus,3
567,Berlepschia rikeri,3
568,Galbula cyanescens,3
569,Grallaria guatimalensis,3
570,Tringa solitaria,3
571,Capito dayi,3
572,Selenidera nattereri,3
573,Rupicola rupicola,3
574,Sclerurus albigularis,3
575,Myiothlypis flaveola,3
576,Philydor erythropterum,3
577,Turdus nudigenis,3
578,Campylopterus hyperythrus,3
579,Parkesia noveboracensis,3
580,Crypturellus cinereus,3
581,Campylorhynchus turdinus,3
582,Nyctiphrynus ocellatus,3
583,Cyanicterus cyanicterus,3
584,Myrmeciza longipes,3
585,Pyrrhura roseifrons,3
586,Metopothrix aurantiaca,3
587,Megaceryle torquata,3
588,Cochlearius cochlearius,3
589,Porphyrio flavirostris,3
590,Coccyzus euleri,3
591,Patagioenas cayennensis,3
592,Nyctibius bracteatus,3
593,Opisthocomus hoazin,3
594,Nonnula amaurocephala,3
595,Hydropsalis cayennensis,3
596,Piranga rubra,3
597,Myrmotherula obscura,3
598,Harpia harpyja,3
599,Eurypyga helias,3
600,Buteo platypterus,3
601,Pharomachrus pavoninus,3
602,Forpus sclateri,3
603,Procacicus solitarius,3
604,Pyrilia barrabandi,3
605,Turdus sanchezorum,3
606,Psarocolius angustifrons,3
607,Aramides cajaneus,3
608,Icterus cayanensis,3
609,Hemitriccus minimus,3
610,Tangara schrankii,3
611,Xenops rutilans,3
612,Hemitriccus flammulatus,3
613,Ara ararauna,3
614,Knipolegus poecilurus,3
615,Ramphotrigon fuscicauda,3
616,Setophaga ruticilla,3
617,Myiarchus tyrannulus,3
618,Myiarchus swainsoni,3
619,Calidris minutilla,3
620,Setophaga striata,3
621,Tachycineta albiventer,3
622,Patagioenas plumbea,3
623,Pyrrhura perlata,3
624,Heterospizias meridionalis,3
625,Tigrisoma lineatum,3
626,Ornithion inerme,3
627,Picumnus undulatus,3
628,Asio stygius,3
629,Topaza pyra,3
630,Orthopsittaca manilatus,3
631,Cercomacroides laeta,3
632,Antrostomus rufus,3
633,Cyanocorax chrysops,3
634,Drymophila devillei,3
635,Riparia riparia,3
636,Pygochelidon cyanoleuca,3
637,Dendrocolaptes concolor,3
638,Ortalis motmot,3
639,Piaya melanogaster,3
640,Leucopternis kuhli,3
641,Leucippus chlorocercus,2
642,Elaenia pelzelni,2
643,Forpus passerinus,2
644,Turdus lawrencii,2
645,Pandion haliaetus,2
646,Myrmoborus melanurus,2
647,Neopelma sulphureiventer,2
648,Myiozetetes cayanensis,2
649,Picumnus spilogaster,2
650,Ramphotrigon megacephalum,2
651,Psarocolius viridis,2
652,Harpagus bidentatus,2
653,Myiophobus roraimae,2
654,Claravis pretiosa,2
655,Chaetura spinicaudus,2
656,Butorides striata,2
657,Thamnophilus torquatus,2
658,Setophaga petechia,2
659,Poecilotriccus senex,2
660,Athene cunicularia,2
661,Brachygalba albogularis,2
662,Anhinga anhinga,2
663,Capito brunneipectus,2
664,Myrmelastes saturatus,2
665,Hemitriccus zoosterops,2
666,Neopelma pallescens,2
667,Myrmelastes caurensis,2
668,Crypturellus strigulosus,2
669,Tachornis squamata,2
670,Tangara argentea,2
671,Conirostrum speciosum,2
672,Pteroglossus pluricinctus,2
673,Amazonetta brasiliensis,2
674,Laterallus viridis,2
675,Jacana jacana,2
676,Cacicus cela,2
677,Psarocolius decumanus,2
678,Cathartes melambrotus,2
679,Thlypopsis sordida,2
680,Notharchus tectus,2
681,Macroagelaius imthurni,2
682,Penelope pileata,2
683,Sclerurus mexicanus,2
684,Nyctibius grandis,2
685,Brotogeris cyanoptera,2
686,Cymbilaimus sanctaemariae,2
687,Chaetura cinereiventris,2
688,Turdus olivater,2
689,Inezia caudata,2
690,Lophotriccus eulophotes,2
691,Todirostrum chrysocrotaphum,2
692,Myrmotherula gutturalis,2
693,Notharchus ordii,2
694,Synallaxis macconnelli,2
695,Icterus chrysocephalus,2
696,Aramus guarauna,2
697,Synallaxis frontalis,2
698,Myrmotherula ambigua,2
699,Lamprospiza melanoleuca,2
700,Pteroglossus mariae,2
701,Basileuterus culicivorus,2
702,Campephilus melanoleucos,2
703,Notharchus hyperrhynchus,2
704,Agamia agami,2
705,Crypturellus soui,2
706,Phylloscartes nigrifrons,2
707,Pipreola whitelyi,2
708,Buteo nitidus,2
709,Tinamus guttatus,2
710,Contopus virens,2
711,Spinus magellanicus,2
712,Molothrus bonariensis,2
713,Hydropsalis maculicaudus,2
714,Aratinga weddellii,2
715,Pipra aureola,2
716,Todirostrum cinereum,2
717,Pionites melanocephalus,2
718,Trogon curucui,2
719,Cercomacra manu,2
720,Penelope marail,2
721,Spizaetus ornatus,2
722,Lophornis ornatus,2
723,Cacicus oseryi,2
724,Dendrocygna autumnalis,2
725,Myiozetetes granadensis,2
726,Diglossa major,2
727,Cyanocorax heilprini,2
728,Myrmotherula sclateri,2
729,Sporophila murallae,2
730,Lampropsar tanagrinus,2
731,Bucco macrodactylus,2
732,Grallaria varia,2
733,Atticora fasciata,2
734,Pionus fuscus,2
735,Amazona kawalli,2
736,Poecilotriccus russatus,2
737,Tyrannus albogularis,2
738,Campylorhamphus cardosoi,2
739,Akletos goeldii,2
740,Leucopternis melanops,2
741,Colaptes rubiginosus,2
742,Cypseloides cryptus,2
743,Micrastur mirandollei,2
744,Laterallus exilis,2
745,Chaetura brachyura,2
746,Atalotriccus pilaris,2
747,Nyctibius leucopterus,2
748,Campephilus rubricollis,2
749,Thamnophilidae Thamnophilidae,2
750,Lophotriccus vitiosus,2
751,Trogon personatus,2
752,Progne elegans,1
753,Ara chloropterus,1
754,Hemitriccus senex,1
755,Deroptyus accipitrinus,1
756,Morphnus guianensis,1
757,Colonia colonus,1
758,Discosura longicaudus,1
759,Ictinia plumbea,1
760,Myrmoborus lophotes,1
761,Hylophilus thoracicus,1
762,Zebrilus undulatus,1
763,Dendrocincla turdina,1
764,Falco rufigularis,1
765,Sicalis flaveola,1
766,Zimmerius chicomendesi,1
767,Catharus swainsoni,1
768,Hydropsalis parvula,1
769,Contopus sordidulus,1
770,Psophia leucoptera,1
771,Todirostrum pictum,1
772,Cranioleuca stellaris,1
773,Xenopsaris albinucha,1
774,Urubitinga urubitinga,1
775,Dendrexetastes rufigula,1
776,Colinus cristatus,1
777,Patagioenas speciosa,1
778,Zenaida auriculata,1
779,Dendrocolaptes radiolatus,1
780,Syrigma sibilatrix,1
781,Pachyramphus viridis,1
782,Setophaga pitiayumi,1
783,Pteroglossus beauharnaisii,1
784,Picumnus buffonii,1
785,Himantopus mexicanus,1
786,Anhima cornuta,1
787,Automolus melanopezus,1
788,Cathartes burrovianus,1
789,Hypocnemis rondoni,1
790,Tityra cayana,1
791,Touit purpuratus,1
792,Hemitriccus iohannis,1
793,Polioptila paraensis,1
794,Xiphorhynchus kienerii,1
795,Progne chalybea,1
796,Ammodramus humeralis,1
797,Colaptes melanochloros,1
798,Daptrius ater,1
799,Hylopezus berlepschi,1
800,Crypturellus obsoletus,1
801,Touit huetii,1
802,Gallinago undulata,1
803,Campylorhamphus gyldenstolpei,1
804,Discosura langsdorffi,1
805,Xiphorynchus pardalotus,1
806,Phyllomyias griseiceps,1
